Movie Name,Language,Genre,Rating,Review
3 Idiots,Hindi,Comedy/Drama,8.4,A heartwarming story about friendship and the pressure of the education system.
Dangal,Hindi,Biography/Sports,8.3,An inspiring tale of a father training his daughters to become world-class wrestlers.
Sholay,Hindi,Action/Adventure,8.1,A classic Bollywood masterpiece featuring iconic villains and unforgettable dialogue.
Andhadhun,Hindi,Thriller/Black Comedy,8.2,A blind pianist gets unwillingly entangled in a series of twisting mysterious events.
Lagaan,Hindi,Sports/Drama,8.1,Villagers in colonial India accept a cricket challenge to avoid unfair taxes.
Zindagi Na Milegi Dobara,Hindi,Adventure/Drama,8.2,Three friends discover themselves and repair relationships on a road trip in Spain.
Tumbbad,Hindi,Horror/Fantasy,8.2,A visual masterpiece exploring greed and mythology in a rain-soaked village.
Gangs of Wasseypur,Hindi,Crime/Action,8.2,A gritty multigenerational saga of coal mafia families seeking revenge.
Queen,Hindi,Comedy/Drama,8.1,A timid girl embarks on her honeymoon alone after her fiancé calls off the wedding.
Swades,Hindi,Drama,8.2,An NRI NASA scientist returns to his roots and finds his true calling in rural India.
